symbol  TSC1	TSC2	MSC1	MSC2	NPC1	NPC2	ESC1	ESC2	MES1	MES2
AL844165.1	4	6	0	3	0	2	0	0	0	0
AL845259.1	0	0	0	0	0	0	0	0	0	0
AL845321.1	0	0	0	0	0	0	0	0	0	0
AL901608.1	0	0	0	0	0	0	0	0	0	0
AL928654.1	0	0	0	0	0	0	0	0	0	0
AL928742.1	0	0	0	0	0	0	0	0	0	0
AL928742.12	0	0	0	0	0	0	0	0	0	0
AL928742.2	0	0	0	0	0	0	0	0	0	0
AL928768.3	0	0	0	0	0	0	0	0	0	0
AL928874.1	0	0	0	0	4	0	0	0	0	0
AL929472.1	0	0	0	0	2	1	0	0	0	0
AL953854.2	0	1	0	0	6	9	1	3	2	2
AL953885.1	0	0	0	0	0	0	0	0	0	0
AL954742.1	0	0	0	0	0	0	3	2	2	2
ALAD	10115	11091	10841	10616	7636	7683	3627	3887	3490	3490
ALAS1	25635	27597	16652	16522	11187	10830	7111	7260	7653	7653
ALAS2	9	9	1	0	23	22	73	40	40	40
ALB	11	17	1	3	66	53	1	10	47	47
ALCAM	25304	30587	122973	128698	17658	17358	31586	32152	6959	6959
ALDH16A1	2244	2913	1338	1305	2266	2252	2903	2941	3552	3552
ALDH18A1	15735	18603	15345	15886	18187	18464	34191	38185	27936	27936
ALDH1A1	47	47	777	798	24	30	219	178	387	387
ALDH1A2	295	277	170	160	38	49	16	21	41	41
ALDH1A3	373	389	3862	4102	134	150	769	1058	934	934
ALDH1B1	3901	4704	5478	5313	13546	14060	15061	17338	14991	14991
ALDH1L1	19	41	8	0	142	151	160	188	134	134
ALDH1L1-AS1	0	6	0	0	12	8	2	0	0	0
ALDH1L1-AS2	2	5	0	4	31	40	12	5	5	5
ALDH1L2	947	1191	45722	45203	445	421	2027	1946	2075	2075
ALDH2	14514	16734	28774	30352	17279	18446	5107	5730	5527	5527
ALDH3A1	2	2	0	0	32	42	49	22	109	109
ALDH3A2	1043	1178	3742	3874	21461	21104	13076	15071	55630	55630
ALDH3B1	211	197	10218	10412	320	340	204	241	76	76
ALDH3B2	1857	1957	3	4	0	3	5	15	60	60
ALDH4A1	7178	8757	1730	1712	3672	3581	3832	3716	2628	2628
ALDH5A1	1339	1549	467	420	4987	5177	967	1061	866	866
ALDH6A1	3682	4441	3067	3060	17830	19727	6457	7139	3136	3136
ALDH7A1	7406	9025	5821	6316	21210	22424	13550	15021	11296	11296
ALDH7A1P1	9389	11610	7271	7412	18745	18180	14837	16876	13588	13588
ALDH7A1P2	0	0	0	0	0	0	0	0	0	0
ALDH7A1P3	0	0	0	1	0	0	2	0	2	2
ALDH7A1P4	0	0	0	0	0	0	0	0	0	0
ALDH8A1	246	326	28	36	66	40	40	16	22	22
ALDH9A1	7169	8496	16733	17412	13344	13846	10821	12609	13361	13361
ALDOA	95257	109603	105486	106228	47981	47899	70148	78044	92784	92784
ALDOAP1	6466	7150	7596	7589	3556	3297	5207	5645	6917	6917
ALDOAP2	19875	23212	23190	22887	11101	10551	16123	18067	21164	21164
ALDOB	9	11	2	6	37	32	6	2	5	5
ALDOC	1425	1703	2425	2551	1213	1240	3742	4327	2614	2614
ALG1	748	849	2333	2508	860	938	3004	3700	2113	2113
ALG10	1330	1575	481	495	1649	1867	1912	1842	1111	1111
ALG10B	759	916	582	510	1528	1686	903	838	431	431
ALG11	1586	1884	1775	1718	1196	1333	2215	2616	1726	1726
ALG12	2632	2980	3073	3056	1928	1860	2699	3221	1621	1621
ALG13	4597	5039	4283	4508	6776	7075	5323	5373	7047	7047
ALG13-AS1	18	23	27	19	60	80	75	68	15	15
ALG14	1234	1370	2539	2444	1231	1221	854	939	1446	1446
ALG1L	6	17	7	7	69	46	40	69	26	26
ALG1L10P	12	22	18	17	119	107	65	50	153	153
ALG1L11P	3	3	7	3	16	32	13	37	50	50
ALG1L12P	18	36	72	61	218	230	165	186	359	359
ALG1L13P	24	53	56	41	196	164	368	362	303	303
ALG1L14P	0	1	1	1	2	2	6	6	2	2
ALG1L15P	639	724	1890	1820	1356	1430	4333	4742	3349	3349
ALG1L2	27	45	42	42	178	234	73	63	153	153
ALG1L3P	1	5	0	2	2	4	1	4	1	1
ALG1L5P	1	2	0	1	3	4	4	2	9	9
ALG1L6P	110	140	657	636	475	535	447	385	366	366
ALG1L7P	6	15	8	20	166	119	202	232	281	281
ALG1L8P	10	10	10	5	81	111	32	25	21	21
ALG1L9P	12	9	30	33	62	99	107	64	46	46
ALG2	21214	23629	15711	16262	7359	7223	11685	16746	12004	12004
ALG3	4870	5540	7507	7677	4616	4377	10050	12162	9488	9488
ALG3P1	761	944	1358	1301	774	756	1702	2155	1538	1538
ALG5	4912	5083	4741	5261	2316	2547	3591	4828	3435	3435
ALG6	1076	1328	808	832	2274	2513	4926	5478	2095	2095
ALG8	6482	7260	5046	5213	7855	8161	13212	15424	8600	8600
ALG9	5679	6737	5993	6112	9440	9983	4486	5381	4610	4610
ALG9-IT1	0	0	0	0	1	3	3	0	6	6
ALK	119	121	7	4	19	8	29	31	347	347
ALKBH1	2624	3035	3204	3359	3386	3578	3079	3422	4126	4126
ALKBH2	799	977	790	936	4278	4189	2220	2298	2631	2631
ALKBH3	654	754	1777	1845	1275	1302	614	773	1298	1298
ALKBH3-AS1	35	33	17	28	29	46	57	45	30	30
ALKBH4	1661	1793	2533	2441	4120	3980	2666	3022	3348	3348
ALKBH5	22940	26434	20629	20840	32450	34939	13698	15615	20004	20004
ALKBH6	934	1074	921	807	984	994	1163	1204	675	675
ALKBH7	4331	4971	5100	5140	9767	9596	3549	3696	3779	3779
ALKBH8	1362	1666	2253	2299	2051	2226	2405	2725	4628	4628
ALLC	20	14	17	21	4	5	1	0	0	0
ALMS1	6092	7615	4694	4303	15921	16389	21700	21431	20012	20012
ALMS1-IT1	74	110	47	59	557	582	516	447	513	513
ALMS1P	8	12	2	0	22	16	1	0	3	3
ALOX12	340	367	487	422	436	422	271	262	279	279
ALOX12B	233	243	0	0	56	68	25	12	11	11
ALOX12P1	4	0	6	0	0	2	5	0	1	1
ALOX12P2	99	123	0	0	121	179	885	856	635	635
ALOX15	429	595	6	2	95	57	202	225	85	85
ALOX15B	390	451	42	37	5	6	242	283	34	34
ALOX15P2	0	0	0	0	0	0	0	0	0	0
ALOX5	156	187	2	0	170	213	336	413	159	159
ALOX5AP	361	384	1676	1814	14	2	1	4	4	4
ALOXE3	110	111	3	2	21	31	52	36	7	7
ALPI	0	2	0	0	0	0	0	0	0	0
ALPK1	57	92	1650	1657	114	115	80	60	71	71
ALPK2	4394	5269	3647	3564	189	159	50	62	1756	1756
ALPK3	18676	22469	2575	2436	8736	8554	10572	10744	21126	21126
ALPL	3699	4207	4195	4357	43442	44184	68901	78090	45733	45733
ALPP	184	186	5	5	0	0	19	21	0	0
ALPPL2	46	51	0	2	2	1	418	401	10	10
ALS2	7640	9325	8935	9123	12224	12567	7442	8469	11333	11333
ALS2CL	5699	5926	262	266	427	399	1137	1078	929	929
ALS2CR11	12	17	6	8	52	43	15	4	1	1
ALS2CR12	60	65	52	53	14	14	70	38	35	35
ALX1	72	90	45	63	114	92	116	99	361	361
ALX3	21	11	4	0	75	56	1	3	21	21
ALX4	509	560	7	10	51	70	35	32	10	10
ALYREF	10197	12442	5032	5166	9892	9758	7893	8828	15633	15633
AMACR	331	434	424	488	844	767	266	322	389	389
AMBN	0	2	0	3	22	21	1	0	3	3
AMBP	5	4	16	11	47	31	668	825	320	320
AMBRA1	5815	6325	5538	5673	6680	6586	5183	5326	7748	7748
AMD1	39509	42510	28893	31323	36763	38937	51657	54834	77559	77559
AMD1P1	15	12	11	7	18	3	2	5	3	3
AMDHD1	33	37	6	14	107	140	47	44	6	6
AMDHD2	769	787	1577	1398	468	460	914	828	574	574
AMDP1	2428	2706	1384	1492	1622	1626	2400	2434	3774	3774
AMELX	0	1	0	0	2	3	0	0	0	0
AMELY	3	11	0	0	5	17	6	9	21	21
AMER1	1591	2106	1960	1896	7921	8213	5494	6806	12864	12864
AMER2	1318	1277	0	0	572	573	215	254	137	137
AMER2-AS1	0	3	0	0	5	2	0	0	0	0
AMER3	4	2	0	0	10	14	74	84	300	300
AMFR	6465	7200	16317	17141	12713	13364	5670	6732	5311	5311
AMH	734	770	1101	1008	3273	3214	1673	1554	1373	1373
AMHR2	104	138	4	5	115	99	20	4	14	14
AMICA1	11	15	0	0	3	0	55	63	61	61
AMIGO1	93	66	317	299	4444	4526	1141	1590	419	419
AMIGO2	3613	4169	7063	7273	1480	1373	1840	2437	7786	7786
AMIGO3	0	0	0	0	1	0	0	0	0	0
AMMECR1	13986	15267	13909	14835	9947	9943	16686	16939	13867	13867
AMMECR1-IT1	4	0	0	0	1	12	0	2	2	2
AMMECR1L	12346	14196	8750	8636	10552	10871	6154	6838	11224	11224
AMMECR1LP1	129	156	94	76	86	68	62	68	97	97
AMN	224	257	64	35	211	206	467	473	122	122
AMN1	283	392	400	397	780	724	378	444	538	538
AMOT	61272	69148	2619	2580	2609	2732	1803	1800	664	664
AMOTL1	34540	42039	29907	29427	19500	19409	15648	17231	51137	51137
AMOTL2	48593	53862	11083	11027	46575	46896	9997	10448	76344	76344
AMPD1	19	24	0	0	0	1	0	1	0	0
AMPD2	8078	8313	14750	14682	10074	9793	6275	6461	7503	7503
AMPD3	1023	1183	9123	9533	538	585	883	1048	953	953
AMPH	31	14	27	40	10154	10113	1395	1546	653	653
AMT	2295	2867	1843	1717	7052	6932	7506	7661	5746	5746
AMTN	3	0	0	0	4	0	0	0	0	0
AMY1A	4	0	6	3	2	0	2	1	10	10
AMY1B	7	4	4	0	4	1	2	1	9	9
AMY1C	0	0	0	0	0	0	0	0	0	0
AMY2A	1	5	4	0	4	0	7	4	0	0
AMY2B	157	227	93	80	308	318	171	151	71	71
AMYP1	0	0	0	0	0	0	0	0	0	0
AMZ1	813	761	91	77	112	68	493	534	267	267
AMZ2	12426	15170	14447	14164	25557	25436	10815	12592	9908	9908
AMZ2P1	808	1001	1441	1473	4600	4691	1408	1583	849	849
AMZ2P2	270	329	285	281	592	583	226	269	221	221
ANAPC1	4025	5063	3517	3512	6779	7208	9479	11282	15488	15488
ANAPC10	906	1020	1158	1228	2537	2832	768	794	2349	2349
ANAPC10P1	440	535	671	689	985	964	565	568	942	942
ANAPC11	21645	24370	20765	22266	27094	28971	26568	28382	21406	21406
ANAPC13	6297	7690	12028	12931	16051	16425	3308	4045	6374	6374
ANAPC15	461	597	574	540	990	1020	773	808	1544	1544
ANAPC16	8966	10701	13398	14095	25001	25838	7626	8836	9903	9903
ANAPC1P1	6	7	3	11	20	15	16	26	31	31
ANAPC2	4752	5229	3980	3601	4336	4208	4013	3614	3600	3600
ANAPC4	4309	4716	2494	2665	4012	4041	3982	3819	4984	4984
ANAPC5	15418	17306	18985	19945	22417	22530	17511	18493	22092	22092
ANAPC7	5835	7003	6130	6453	12734	12706	10848	11695	13954	13954
ANG	225	216	427	465	210	282	468	581	275	275
ANGEL1	3325	3795	4468	4443	10395	10187	10385	13108	6016	6016
ANGEL2	4567	5599	5409	6039	12040	12920	8056	8001	9887	9887
ANGPT1	171	144	28927	28789	513	488	1378	1703	2687	2687
ANGPT2	81	65	48317	51020	140	195	33	37	89	89
ANGPT4	7531	7878	10	10	43	55	71	65	65	65
ANGPTL1	43	52	232	314	25	46	46	62	33	33
ANGPTL2	1350	1528	22706	22606	8791	9297	5662	6662	3313	3313
ANGPTL3	8	9	3	6	32	85	18	8	8	8
ANGPTL4	956	1010	12291	12773	850	1022	691	665	91	91
ANGPTL5	20	26	1	10	10	11	10	6	0	0
ANGPTL6	6	11	30	48	19	16	46	29	31	31
ANGPTL7	59	68	0	0	96	46	7	4	10	10
ANHX	0	0	0	0	0	0	0	0	0	0
ANK1	792	1041	577	505	1211	1190	1737	1820	548	548
ANK2	517	509	7999	7662	10484	10877	8524	7753	17672	17672
ANK3	13781	17423	23498	22593	14553	15422	12778	14140	11313	11313
ANKAR	285	384	183	187	735	826	317	280	256	256
ANKDD1A	1085	1136	1946	1769	1863	2067	1737	1737	1154	1154
ANKDD1B	26	28	22	39	131	83	32	34	30	30
ANKEF1	1204	1480	371	438	2537	2676	2282	2321	3742	3742
ANKFN1	711	772	2	2	196	222	5	2	0	0
ANKFY1	13677	16308	17798	17365	17356	18483	11534	11072	12987	12987
ANKH	5109	6577	4298	4157	1256	1361	3815	4127	3062	3062
ANKHD1	1531	1756	603	481	1691	1752	1541	1560	1513	1513
ANKHD1-EIF4EBP3	143	149	132	161	468	448	344	340	131	131
ANKIB1	16310	18979	22218	23344	16336	17893	14909	16001	16894	16894
ANKK1	108	147	0	6	45	34	6	11	18	18
ANKLE1	396	479	169	200	896	930	1777	2007	852	852
ANKLE2	19019	21606	15806	16008	16214	16149	14200	16328	15471	15471
ANKMY1	1246	1465	1231	1142	1780	1785	619	690	710	710
ANKMY2	5296	6272	5557	5942	18524	18695	1749	2218	2547	2547
ANKRA2	2616	2757	2087	2940	5531	5905	1230	1251	1266	1266
ANKRD1	54884	61544	14793	14763	2870	3051	46	74	12920	12920
ANKRD10	14935	16655	10424	10219	28791	29449	33985	32351	14671	14671
ANKRD10-IT1	653	640	464	497	1318	1566	3010	2554	815	815
ANKRD11	70093	81907	81052	79367	42426	44050	66097	73693	85490	85490
ANKRD12	20406	23252	36969	36677	38719	41851	55046	51046	24274	24274
ANKRD13A	8169	9577	9239	9299	9564	9723	4006	4659	6629	6629
ANKRD13B	470	548	1223	1079	9860	9535	6260	6778	2284	2284
ANKRD13C	7647	9228	11700	12622	11358	11716	6060	6534	10401	10401
ANKRD13D	3741	4132	6101	5836	5257	5280	2939	3071	2414	2414
ANKRD16	401	466	652	573	1525	1601	1045	974	736	736
ANKRD17	37871	44156	35594	33765	39808	41781	30935	32152	39531	39531
ANKRD18A	293	268	2	3	691	713	873	737	732	732
ANKRD18B	138	142	36	25	2051	2104	1211	1080	553	553
ANKRD18CP	231	304	21	3	276	280	4509	3371	1621	1621
ANKRD18DP	1	1	0	0	19	23	4	29	14	14
ANKRD18EP	535	662	697	833	2084	2008	662	669	2082	2082
ANKRD19P	166	236	164	152	515	547	592	546	314	314
ANKRD2	62	56	1	3	1	5	0	4	16	16
ANKRD20A1	2	7	2	2	2	8	0	0	3	3
ANKRD20A10P	6	2	2	3	7	6	0	3	4	4
ANKRD20A11P	1	1	10	3	4	18	2	4	0	0
ANKRD20A12P	0	0	0	0	0	0	0	0	0	0
ANKRD20A14P	0	1	0	0	0	0	0	0	0	0
ANKRD20A17P	3	0	0	0	0	0	2	3	1	1
ANKRD20A18P	29	36	3	0	14	19	21	17	19	19
ANKRD20A19P	6	11	2	0	34	23	2	4	7	7
ANKRD20A2	0	1	0	0	1	0	0	1	3	3
ANKRD20A3	0	2	0	1	1	0	0	0	6	6
ANKRD20A4	0	0	1	0	2	3	1	0	3	3
ANKRD20A5P	12	14	0	0	23	20	26	22	2	2
ANKRD20A7P	7	10	3	15	7	23	3	0	43	43
ANKRD20A8P	0	0	0	0	0	2	2	9	1	1
ANKRD20A9P	0	0	0	0	1	1	2	0	0	0
ANKRD22	21	11	0	4	0	0	2	3	1	1
ANKRD23	116	149	47	40	139	170	66	93	48	48
ANKRD24	99	141	77	69	373	363	3292	3444	1207	1207
ANKRD26	3493	4254	4857	4959	8886	9825	4971	4779	3850	3850
ANKRD26P1	84	106	6	10	0	3	8	10	6	6
ANKRD26P2	5	5	0	0	0	0	0	0	0	0
ANKRD26P3	0	1	0	0	0	0	19	12	14	14
ANKRD26P4	5	10	2	7	9	8	2	0	2	2
ANKRD27	4476	5118	5537	6081	9704	9605	7939	9203	8689	8689
ANKRD28	4181	4951	21407	22703	8786	9080	8895	9316	9687	9687
ANKRD29	9	4	19	31	309	349	1730	1860	297	297
ANKRD30A	0	0	0	0	0	2	0	2	0	0
ANKRD30B	0	1	0	0	15	12	12	5	3	3
ANKRD30BL	13	31	10	17	48	44	73	81	36	36
ANKRD30BP1	0	0	0	0	0	0	0	0	0	0
ANKRD30BP2	2	0	0	0	0	0	0	0	0	0
ANKRD30BP3	0	0	1	0	0	3	0	0	0	0
ANKRD31	117	119	14	3	140	182	106	130	147	147
ANKRD32	1539	1856	944	983	7576	7628	3212	3372	5730	5730
ANKRD33	51	80	1122	1073	100	118	104	136	11	11
ANKRD33B	1066	1311	61	72	429	508	498	511	425	425
ANKRD33B-AS1	5	7	2	3	4	4	9	1	0	0
ANKRD34A	73	87	3374	3453	144	149	77	107	97	97
ANKRD34B	433	549	2	0	2582	3004	1786	1769	138	138
ANKRD34C	4	5	0	0	4	0	2	10	2	2
ANKRD35	20	19	366	338	1222	1323	604	608	420	420
ANKRD36	436	576	510	470	1402	1564	512	422	269	269
ANKRD36B	220	244	394	362	522	518	165	229	244	244
ANKRD36BP1	0	0	0	0	0	0	0	0	0	0
ANKRD36BP2	6	4	0	1	569	604	120	120	25	25
ANKRD36C	221	251	572	483	905	1260	369	280	174	174
ANKRD36P1	0	0	0	0	0	0	0	0	0	0
ANKRD37	473	514	125	130	363	402	183	108	79	79
ANKRD39	2431	2856	1087	1021	1481	1453	1772	1838	1423	1423
ANKRD40	9023	11230	15256	15807	29216	30015	12699	14885	25945	25945
ANKRD42	1007	1229	5037	5272	2744	2766	1125	1264	2188	2188
ANKRD44	611	706	716	842	312	309	32	55	173	173
ANKRD44-IT1	0	2	0	0	1	1	2	2	1	1
ANKRD45	41	37	24	3	1238	1327	275	340	258	258
ANKRD46	4164	4763	1737	1880	11194	11014	2535	2690	6752	6752
ANKRD49	3646	3911	3711	3954	5446	5328	3700	3644	5518	5518
ANKRD50	26639	30744	23512	24063	16973	17690	11740	12446	12132	12132
ANKRD52	33170	39119	35218	34102	25044	25094	15909	16997	15948	15948
ANKRD53	185	197	583	590	169	172	149	142	145	145
ANKRD54	3563	4030	5448	5388	4545	4952	2751	2936	2654	2654
ANKRD54P1	0	0	0	0	0	0	0	0	0	0
ANKRD55	231	256	489	497	2	5	0	2	34	34
ANKRD6	6164	7895	484	496	9316	9321	2513	2474	3837	3837
ANKRD60	0	0	0	0	0	0	0	0	0	0
ANKRD61	184	214	131	117	220	229	220	159	97	97
ANKRD62	0	2	2	0	3	0	3	14	17	17
ANKRD62P1	0	0	0	0	0	0	0	0	0	0
ANKRD62P1-PARP4P3	0	0	0	0	0	0	0	0	0	0
ANKRD63	74	81	0	0	2	2	27	17	16	16
ANKRD65	741	871	62	54	694	670	305	338	439	439
ANKRD66	0	2	0	0	0	3	0	0	0	0
ANKRD7	1	1	0	2	8	7	0	0	2	2
ANKRD9	2366	2931	2921	2942	6885	6753	4832	5030	2012	2012
ANKS1A	132112	164601	4681	4679	9954	9641	7894	8885	13036	13036
ANKS1B	41	55	112	118	1544	1632	657	781	350	350
ANKS3	1501	1685	1733	1575	2850	2931	2590	2434	1747	1747
ANKS4B	7	4	0	2	32	20	50	31	15	15
ANKS6	4596	5690	5584	5381	17647	17730	16288	18166	15231	15231
ANKUB1	68	30	0	4	0	0	0	0	7	7
ANKZF1	7208	7954	3858	3642	7398	7351	5616	5687	4553	4553
ANLN	31532	37514	5581	6379	30845	31817	22419	27573	36238	36238
ANO1	2990	3578	195	154	65	63	963	1037	63	63
ANO1-AS1	0	0	0	0	0	0	0	0	0	0
ANO1-AS2	12	5	0	2	0	0	5	14	0	0
ANO10	15526	17291	11102	11336	8047	7826	12540	14292	7023	7023
ANO2	171	188	268	277	245	274	305	440	433	433
ANO3	178	204	52	67	378	441	18	28	5	5
ANO4	3413	3981	6999	7103	139	80	369	531	1457	1457
ANO5	392	406	114	116	5137	5376	3733	4059	1429	1429
ANO6	56671	68644	43165	43213	19686	20064	32895	39986	23188	23188
ANO7	607	645	558	537	572	666	1342	1469	1061	1061
ANO7P1	68	89	317	360	30	45	63	62	19	19
ANO8	4205	4741	2933	2982	9187	9184	7212	6806	3043	3043
ANO9	4021	4743	73	69	882	733	3051	3090	1344	1344
ANP32A	23870	29125	25029	25053	114845	116864	33434	39279	78675	78675
ANP32AP1	8179	10141	6080	6413	21632	21681	7402	8626	19042	19042
ANP32B	25124	29359	35658	36633	55318	56998	20523	23401	51253	51253
ANP32BP1	6386	7563	9255	9243	14328	14660	5351	5715	12691	12691
ANP32BP2	0	0	0	1	0	0	0	0	0	0
ANP32BP3	1394	1628	1682	1734	2568	2617	956	1056	2552	2552
ANP32C	4428	5342	3574	3711	12339	12452	4117	5079	10756	10756
ANP32D	992	1172	711	831	2660	2680	891	1081	2387	2387
ANP32E	20571	24301	12154	14101	63927	65510	26012	27824	61530	61530
ANPEP	80	98	26333	25835	1334	1315	1632	1323	262	262
ANTXR1	13546	16409	225301	228269	10675	11371	31374	39818	24001	24001
ANTXR2	4309	5156	50069	51033	9923	10167	4030	4850	2296	2296
ANTXRL	17	35	0	0	0	2	0	4	5	5
ANTXRLP1	20	26	0	0	3	0	0	0	0	0
ANXA1	186413	204207	54537	56776	1246	1375	1140	1281	6279	6279
ANXA10	1	0	5	1	0	0	0	0	1	1
ANXA11	27157	30621	46001	46900	4692	4427	10807	12147	16436	16436
ANXA13	2	5	1	2	0	0	0	0	10	10
ANXA2	189693	217108	219427	227418	10760	11265	18611	21861	48974	48974
ANXA2P1	4111	4975	5589	5530	238	258	479	486	1216	1216
ANXA2P2	201390	236098	244138	246214	12500	11981	20917	22786	53738	53738
ANXA2P3	1603	1980	1878	1933	105	94	145	187	410	410
ANXA2R	14	24	452	477	29	19	0	6	360	360
ANXA3	24186	28077	1185	1424	1289	1272	2666	3040	13374	13374
ANXA4	7104	8095	11202	11468	1266	1384	1142	1101	1137	1137
ANXA5	58639	64851	85745	94906	22534	22660	14292	15666	36141	36141
ANXA6	9955	11673	48263	52405	7052	7345	5590	6182	9880	9880
ANXA7	5515	6085	10008	10519	6116	6153	4545	4560	8146	8146
ANXA8	4	1	0	0	1	0	0	0	0	0
ANXA8L1	369	373	4	4	0	0	1	0	5	5
ANXA8L2	37	37	0	0	0	0	0	0	1	1
ANXA9	450	469	390	344	849	890	435	523	627	627
AOAH	23	26	0	0	57	39	8	10	9	9
AOAH-IT1	0	0	0	0	0	0	0	0	2	2
AOC1	63	60	8	4	15	11	69	75	82	82
AOC2	560	713	218	139	1208	1242	1237	1156	665	665
AOC3	405	413	68	59	968	977	789	725	383	383
AOC4P	16	19	0	0	61	52	20	12	7	7
AOX1	16	8	371	362	395	393	482	566	587	587
AOX2P	1	6	0	0	0	0	0	0	0	0
AOX3P	1	7	0	0	6	6	0	0	0	0
AP000146.2	0	0	0	0	0	0	1	0	0	0
AP000221.1	3	1	0	2	1	0	12	10	53	53
AP000226.9	4	0	2	0	6	1	3	2	1	1
AP000230.1	15	15	28	9	110	151	76	80	57	57
AP000233.3	0	0	0	0	0	0	4	0	0	0
AP000233.4	0	0	0	0	0	2	1	3	0	0
AP000235.2	0	0	0	0	0	0	0	0	0	0
AP000235.3	0	0	0	0	0	0	0	0	0	0
AP000240.9	141	161	64	36	80	61	39	41	81	81
AP000244.1	0	0	0	0	0	0	0	0	0	0
AP000244.11	0	0	0	0	0	0	0	0	2	2
AP000251.3	201	291	9	5	733	692	566	692	614	614
AP000253.1	19	9	9	12	23	31	37	45	25	25
AP000254.8	151	167	235	210	176	271	255	260	201	201
AP000255.6	36	32	17	8	86	85	92	93	97	97
AP000261.1	0	0	0	0	0	0	0	1	0	0
AP000265.1	20	20	2	6	40	46	61	36	36	36
AP000266.7	4	4	4	10	11	8	12	6	14	14
AP000275.64	13	2	0	0	0	0	0	2	0	0
AP000275.65	0	0	0	0	0	0	0	0	0	0
AP000281.1	0	3	1	0	2	0	0	1	2	2
AP000281.2	0	3	0	0	6	0	0	0	0	0
AP000282.2	0	6	0	0	1	4	0	0	0	0
AP000282.3	1	1	0	0	5	2	0	0	0	0
AP000289.6	0	0	0	0	0	0	6	5	0	0
AP000290.7	0	0	0	0	0	0	0	0	0	0
AP000295.10	7	26	74	73	33	52	6	12	5	5
AP000295.9	0	0	0	0	0	0	0	0	0	0
AP000301.1	0	1	0	0	0	0	0	0	1	1
AP000302.58	3	6	1	2	6	3	12	15	1	1
AP000304.1	13	14	8	2	22	28	12	29	18	18
AP000304.12	0	0	0	0	0	0	0	0	0	0
AP000318.1	0	0	0	0	0	0	1	0	0	0
AP000318.2	47	60	21	7	106	103	22	18	60	60
AP000320.6	1	0	0	1	2	3	0	3	7	7
AP000320.7	6	7	1	1	26	16	0	6	1	1
AP000322.53	5	16	0	0	26	37	4	2	5	5
AP000322.54	124	139	138	167	296	288	52	48	24	24
AP000330.8	72	130	230	259	40	61	97	47	432	432
AP000343.1	1	3	0	1	2	4	3	2	1	1
AP000343.2	18	18	2	2	3	7	3	3	4	4
AP000344.3	26	29	0	2	130	104	6	10	23	23
AP000344.4	31	41	2	1	125	92	5	5	27	27
AP000345.1	15	19	0	2	22	45	5	2	14	14
AP000345.2	0	0	0	0	1	0	0	0	2	2
AP000345.4	0	2	0	0	0	0	0	0	1	1
AP000347.2	285	375	280	207	475	488	845	637	422	422
AP000347.4	17	15	9	5	16	14	50	44	20	20
AP000349.1	0	0	0	0	0	0	0	0	0	0
AP000350.10	0	0	0	0	0	0	0	0	0	0
AP000350.4	125	151	129	72	237	260	113	73	57	57
AP000350.5	197	260	195	97	300	312	251	196	62	62
AP000350.6	912	1090	5989	5704	2683	2562	877	909	681	681
AP000350.7	0	0	0	0	0	0	0	0	0	0
AP000350.8	0	0	0	0	0	0	0	4	0	0
AP000351.10	88	90	49	44	145	173	316	282	95	95
AP000351.13	1	0	0	0	0	0	0	2	1	1
AP000351.3	0	0	0	0	0	0	0	0	0	0
AP000351.4	0	0	0	0	0	0	0	0	0	0
AP000351.8	1	4	0	0	0	1	6	15	35	35
AP000351.9	0	0	0	0	1	2	1	1	3	3
AP000354.2	21	19	34	49	31	31	41	36	51	51
AP000354.4	20	22	46	29	1	5	2	2	1	1
AP000355.2	2	0	6	5	20	14	2	6	0	0
AP000356.1	3	4	8	3	3	3	5	3	2	2
AP000356.2	0	2	2	0	1	5	3	1	0	0
AP000357.4	1455	1700	2746	2630	1483	1614	789	989	1431	1431
AP000358.5	0	0	0	0	0	0	0	1	0	0
AP000361.2	1004	1250	1276	1436	1568	1467	961	1198	1481	1481
AP000362.1	0	0	0	0	0	0	0	0	0	0
AP000402.3	0	0	0	0	0	0	0	0	0	0
AP000403.3	0	0	0	0	0	0	0	0	0	0
AP000428.1	0	0	0	0	0	2	0	0	0	0
AP000431.1	0	0	0	0	0	0	0	0	0	0
AP000431.2	0	0	0	0	0	0	2	0	0	0
AP000432.2	133	115	0	2	30	45	1	0	0	0
AP000435.3	0	0	0	0	0	0	0	0	0	0
AP000436.4	1	0	4	0	4	3	2	2	4	4
AP000438.2	28	31	0	2	2	4	223	230	240	240
AP000438.4	0	1	0	0	0	0	0	0	0	0
AP000439.1	0	0	2	0	2	2	10	8	6	6
AP000439.2	0	0	2	5	0	1	1	0	0	0
AP000439.3	0	0	0	0	1	0	0	0	0	0
AP000439.5	0	0	0	0	2	0	0	0	0	0
AP000442.1	49	80	74	81	269	270	131	98	55	55
AP000442.4	35	26	13	22	59	58	15	28	14	14
AP000445.1	22	33	0	0	2	3	2	0	0	0
AP000445.2	0	0	0	0	1	0	0	0	0	0
AP000445.3	0	0	0	0	0	0	0	0	0	0
AP000459.4	0	2	0	0	0	0	9825	10406	2243	2243
AP000459.7	0	0	0	0	0	0	0	0	0	0
AP000462.1	4	0	0	0	0	0	2	0	0	0
AP000462.2	2	0	2	0	0	3	0	0	0	0
AP000462.3	0	0	0	0	0	2	0	0	0	0
AP000469.2	0	0	0	0	0	0	0	0	0	0
AP000470.2	0	0	0	0	0	0	0	0	0	0
AP000472.2	0	0	0	0	0	0	0	0	0	0
